k,x,y
Utilities,25118.864315095823,152.0
Utilities,28183.82931264455,303.0
Utilities,31622.776601683792,365.0
Utilities,35481.33892335753,346.0
Utilities,39810.71705534969,658.0
Utilities,44668.359215096345,1060.0
Utilities,50118.72336272725,638.0
Utilities,56234.13251903491,902.0
Utilities,63095.7344480193,955.0
Utilities,70794.57843841374,763.0
Utilities,79432.82347242821,1184.0
Utilities,89125.0938133746,918.0
Utilities,100000.0,1578.0
Utilities,112201.84543019629,971.0
Utilities,125892.54117941661,789.0
Utilities,141253.75446227554,617.0
Utilities,158489.3192461114,377.0
Utilities,177827.94100389228,239.0
Utilities,199526.2314968879,253.0
Utilities,223872.11385683378,133.0
Utilities,251188.6431509582,41.0
Utilities,281838.2931264455,52.0
Utilities,316227.7660168379,22.0
Utilities,354813.3892335753,9.0
Utilities,398107.1705534969,14.0
Utilities,446683.5921509635,31.0
Utilities,501187.2336272725,55.0
Utilities,562341.3251903491,31.0
Utilities,630957.344480193,11.0
Utilities,707945.7843841374,7.0
"Mining, Quarrying, and Oil and Gas Extraction",2238.72113856834,9.0
"Mining, Quarrying, and Oil and Gas Extraction",2511.88643150958,5.0
"Mining, Quarrying, and Oil and Gas Extraction",2818.382931264455,8.0
"Mining, Quarrying, and Oil and Gas Extraction",3162.2776601683795,8.0
"Mining, Quarrying, and Oil and Gas Extraction",3548.133892335753,8.0
"Mining, Quarrying, and Oil and Gas Extraction",3981.0717055349733,13.0
"Mining, Quarrying, and Oil and Gas Extraction",4466.835921509631,31.0
"Mining, Quarrying, and Oil and Gas Extraction",5011.872336272725,12.0
"Mining, Quarrying, and Oil and Gas Extraction",5623.413251903491,13.0
"Mining, Quarrying, and Oil and Gas Extraction",6309.57344480193,23.0
"Mining, Quarrying, and Oil and Gas Extraction",7079.457843841381,16.0
"Mining, Quarrying, and Oil and Gas Extraction",7943.282347242814,21.0
"Mining, Quarrying, and Oil and Gas Extraction",8912.509381337459,20.0
"Mining, Quarrying, and Oil and Gas Extraction",10000.0,49.0
"Mining, Quarrying, and Oil and Gas Extraction",11220.18454301963,38.0
"Mining, Quarrying, and Oil and Gas Extraction",12589.254117941662,45.0
"Mining, Quarrying, and Oil and Gas Extraction",14125.375446227554,64.0
"Mining, Quarrying, and Oil and Gas Extraction",15848.93192461114,40.0
"Mining, Quarrying, and Oil and Gas Extraction",17782.794100389227,26.0
"Mining, Quarrying, and Oil and Gas Extraction",19952.62314968879,105.0
"Mining, Quarrying, and Oil and Gas Extraction",22387.21138568338,130.0
"Mining, Quarrying, and Oil and Gas Extraction",25118.864315095823,59.0
"Mining, Quarrying, and Oil and Gas Extraction",28183.82931264455,171.0
"Mining, Quarrying, and Oil and Gas Extraction",31622.776601683792,161.0
"Mining, Quarrying, and Oil and Gas Extraction",35481.33892335753,139.0
"Mining, Quarrying, and Oil and Gas Extraction",39810.71705534969,316.0
"Mining, Quarrying, and Oil and Gas Extraction",44668.359215096345,506.0
"Mining, Quarrying, and Oil and Gas Extraction",50118.72336272725,260.0
"Mining, Quarrying, and Oil and Gas Extraction",56234.13251903491,406.0
"Mining, Quarrying, and Oil and Gas Extraction",63095.7344480193,508.0
"Mining, Quarrying, and Oil and Gas Extraction",70794.57843841374,342.0
"Mining, Quarrying, and Oil and Gas Extraction",79432.82347242821,488.0
"Mining, Quarrying, and Oil and Gas Extraction",89125.0938133746,392.0
"Mining, Quarrying, and Oil and Gas Extraction",100000.0,529.0
"Mining, Quarrying, and Oil and Gas Extraction",112201.84543019629,321.0
"Mining, Quarrying, and Oil and Gas Extraction",125892.54117941661,197.0
"Mining, Quarrying, and Oil and Gas Extraction",141253.75446227554,214.0
"Mining, Quarrying, and Oil and Gas Extraction",158489.3192461114,136.0
"Mining, Quarrying, and Oil and Gas Extraction",177827.94100389228,105.0
"Mining, Quarrying, and Oil and Gas Extraction",199526.2314968879,132.0
"Mining, Quarrying, and Oil and Gas Extraction",223872.11385683378,67.0
"Mining, Quarrying, and Oil and Gas Extraction",251188.6431509582,20.0
"Mining, Quarrying, and Oil and Gas Extraction",281838.2931264455,50.0
"Mining, Quarrying, and Oil and Gas Extraction",316227.7660168379,4.0
"Mining, Quarrying, and Oil and Gas Extraction",354813.3892335753,10.0
"Mining, Quarrying, and Oil and Gas Extraction",398107.1705534969,25.0
"Mining, Quarrying, and Oil and Gas Extraction",446683.5921509635,12.0
"Mining, Quarrying, and Oil and Gas Extraction",501187.2336272725,77.0
"Mining, Quarrying, and Oil and Gas Extraction",562341.3251903491,11.0
"Mining, Quarrying, and Oil and Gas Extraction",630957.344480193,1.0
"Professional, Scientific, and Technical Services",1995.2623149688789,100.0
"Professional, Scientific, and Technical Services",2238.72113856834,618.0
"Professional, Scientific, and Technical Services",2511.88643150958,294.0
"Professional, Scientific, and Technical Services",2818.382931264455,1098.0
"Professional, Scientific, and Technical Services",3162.2776601683795,529.0
"Professional, Scientific, and Technical Services",3548.133892335753,307.0
"Professional, Scientific, and Technical Services",3981.0717055349733,1103.0
"Professional, Scientific, and Technical Services",4466.835921509631,2253.0
"Professional, Scientific, and Technical Services",5011.872336272725,530.0
"Professional, Scientific, and Technical Services",5623.413251903491,1493.0
"Professional, Scientific, and Technical Services",6309.57344480193,1183.0
"Professional, Scientific, and Technical Services",7079.457843841381,746.0
"Professional, Scientific, and Technical Services",7943.282347242814,1706.0
"Professional, Scientific, and Technical Services",8912.509381337459,1070.0
"Professional, Scientific, and Technical Services",10000.0,3293.0
"Professional, Scientific, and Technical Services",11220.18454301963,2562.0
"Professional, Scientific, and Technical Services",12589.254117941662,1694.0
"Professional, Scientific, and Technical Services",14125.375446227554,2792.0
"Professional, Scientific, and Technical Services",15848.93192461114,1885.0
"Professional, Scientific, and Technical Services",17782.794100389227,2388.0
"Professional, Scientific, and Technical Services",19952.62314968879,5589.0
